planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
BD-14 3065 b,BD-14 3065 A,0,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
CI Tau c,CI Tau,1,1,1,Radial Velocity,2024,Multiple Observatories,Published Confirmed
G 196-3 b,G 196-3,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
GJ 238 b,GJ 238,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
GJ 238 b,GJ 238,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
GJ 900 b,GJ 900 A,1,3,1,Imaging,2024,Multiple Observatories,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,0,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gaia22dkvL b,Gaia22dkvL,1,1,1,Microlensing,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
Gliese 12 b,Gliese 12,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
Gliese 12 b,Gliese 12,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
Gliese 12 b,Gliese 12,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 104067 c,HD 104067,1,1,2,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 118203 c,HD 118203,1,1,2,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 134606 b,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 134606 c,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 134606 d,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 134606 e,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 134606 f,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 21520 b,HD 21520,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 222237 b,HD 222237,1,1,1,Radial Velocity,2024,Multiple Observatories,Published Confirmed
HD 48948 b,HD 48948,1,1,3,Radial Velocity,2024,Roque de los Muchachos Observatory,Published Confirmed
HD 48948 c,HD 48948,1,1,3,Radial Velocity,2024,Roque de los Muchachos Observatory,Published Confirmed
HD 48948 d,HD 48948,1,1,3,Radial Velocity,2024,Roque de los Muchachos Observatory,Published Confirmed
HD 73344 b,HD 73344,0,1,1,Transit,2024,K2,TESS Project Candidate
HD 73344 b,HD 73344,0,1,1,Transit,2024,K2,Published Candidate
HD 73344 b,HD 73344,1,1,1,Transit,2024,K2,Published Confirmed
HD 77946 b,HD 77946,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
HD 77946 b,HD 77946,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 77946 b,HD 77946,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HIP 39017 b,HIP 39017,1,1,1,Imaging,2024,Multiple Observatories,Published Confirmed
HIP 67522 c,HIP 67522,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HIP 77900 b,HIP 77900,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
HS Psc b,HS Psc,1,1,1,Radial Velocity,2024,McDonald Observatory,Published Confirmed
ITG 15 b,ITG 15 A,1,2,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed
K2-419 A b,K2-419 A,0,2,1,Transit,2024,K2,Published Candidate
K2-419 A b,K2-419 A,0,2,1,Transit,2024,K2,TESS Project Candidate
K2-419 A b,K2-419 A,0,2,1,Transit,2024,K2,Published Candidate
K2-419 A b,K2-419 A,0,2,1,Transit,2024,K2,Published Candidate
K2-419 A b,K2-419 A,0,2,1,Transit,2024,K2,Published Candidate
K2-419 A b,K2-419 A,1,2,1,Transit,2024,K2,Published Confirmed
